assetid,assetname
TKMB201203X4,nova 3i（二手机/全网通4G手机/4GB+128GB/INE-AL00/颜色随机）
TKMB201203R4,VIVO Y83(二手机/移动全网通4G/4GB+64GB/VIVO Y83/颜色随机)
TKMB201203RM,nova 3(二手机/全网通4G/6GB+128GB/PAR-AL00/颜色随机)
TKMB201203XG,Y3标准版（全网通4G/3GB+64GB/V1930A/颜色随机）
TKMB2012030G,7 pro(全网通4G/6GB+128GB/gm1910/颜色随机)
TKMB201203ER,华为 畅享9(二手机/全网通4G/3GB+32GB/DUB-AL00a/颜色随机)
TKMB2012034E,Mate 30 Pro(全网通4G/8GB+128GB/LIO-AL00/颜色随机)
TKMB201204FL,畅享 10S(二手机/全网通4G/6GB+64GB/AQM-AL00/颜色随机)
TKMB20120376,Y67（二手机/全网通4G/4GB+32GB/颜色随机)
TKMB2012030F,S6(全网通双模5G/8GB+128GB/V1962A/颜色随机)
TKMB201203XA,IQOO Pro(二手机/全网通5G/8GB+128GB/v1916a/双卡双待/颜色随机)
TKMB20120375,P20(二手机/全网通4G/6GB+128GB/EML-AL00/颜色随机))
TKMB201203RY,A9(二手机/移动4G+/6GB+128GB/PCAT10/颜色随机)
TKMB20120310,X21屏幕指纹版(二手机/全网通4G/6GB+128GB/VIVO X21UD A/颜色随机)
TKMB201203XP,Z3(二手机/全网通4G/6GB+64GB/V1813BT/颜色随机)
TKMB201204G3,畅享10E(二手机/全网通4G/4G+64G/MED-AL00/珍珠白)
TKMB201203R3,nova 7 Pro (二手机/全网通5G/8GB+128GB/JER-AN10/颜色随机)
TKMB201203P6,畅享9 plus(二手机/全网通4G/6GB+128GB/JKM-AL00/颜色随机)
TKMB2012030N,Reno3 Pro（全网通5G/8GB+128GB/pcrm00/颜色随机）
TKMB201202AW,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201202AE,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201202AR,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201202AP,Mate 30(全网通5G/8GB+128GB/TAS-AN00/颜色随机)
TKMB201205EA,X20 plus(二手机/全网通4G/4GB+64GB/VIVO X20PLUS A/颜色随机)
TKMB201204RJ,nova 7 SE （全网通5G/8GB+256GB/颜色随机）
TKMB201205E6,iQOO Z1x (全网通5G/6GB+128GB/V2012A/颜色不限)
TKMB201205E9,畅享9(二手机/全网通4G/4GB+128GB/DUB-AL00/颜色随机)
TKMB201204GR,Y3标准版（全网通4G/3GB+64GB/V1930A/颜色随机）
TKMB201205EG,Z5(二手机/全网通4G/6GB+64GB/V1921A/颜色随机)
TKMB201205EF,A59 （二手机/全网通4G/3GB+32GB/OPPO A59M/颜色随机）
TKMB201205WJ,黑鲨游戏手机(二手机/全网通4G/8GB+128GB/SKR-A0/颜色随机)
TKMB201204TL,Z3(二手机/全网通4G/6GB+64GB/V1813BT/颜色随机)
TKMB201205EL,畅享9(二手机/全网通4G/4GB+64GB/DUB-AL20/颜色随机)
TKMB2012040Y,NEX(二手机/全网通4G/8GB+128GB/VIVO NEX A/颜色随机)
TKMB201204PA,A3(二手机/全网通4G/4GB+128GB/PADM00/颜色随机)
TKMB201203F4,mate20 X（二手机/全网通4G/6GB+128GB/EVR-AL00/颜色随机）
TKMB2012048P,荣耀play4T pro(二手机/全网通4G/6GB+128GB/AQM-AL10/颜色随机)
TKMB201205N8,Redmi K30i(二手机/全网通双模5G/8GB+128GB/颜色随机)
TKMB201204F0,荣耀10青春版(二手机/全网通4G/6GB+64GB/HRY-AL00A/颜色随机)
TKMB20120540,畅享10E(二手机/全网通4G/4G+64G/MED-AL00/珍珠白)
TKMB201205R6,A5(二手机/移动全网通版/3GB+32GB/PBBT30/颜色随机)
TKMB201205EM,Mate 8(二手机/全网通4G/3GB+32GB/HUAWEI NXT-AL10/颜色随机)
TKMB201205EP,Z1(二手机/全网通4G/6GB+64GB/颜色随机)
TKMB201205EE,Z1(二手机/全网通4G/6GB+64GB/颜色随机)
TKMB201205EX,荣耀8X(二手机/移动联通电信4G手机/6GB+64GB/JSN-AL00/颜色随机)
TKMB201205F6,Y85（二手机/移动全网通4G/4GB+64GB/VIVO Y85/颜色随机）
TKMB201205E7,荣耀8(二手机/全网通4G/4GB+64GB/FRD-AL10/颜色随机)
TKMB201205F2,P9(二手机/全网通/高配版/4GB+64GB/EVA-AL10/颜色随机)
TKMB201204GX,Y93(二手机/全网通4G/4GB+64GB/V1818a/颜色随机)
TKMB201205RG,iQOO 5(全网通双模5G/8GB+128GB/V2024A/颜色随机)
TKMB201205W9,Nova 青春版(二手机/全网通4G/6GB+64G/WAS-AL00/颜色随机)
TKMB201205ER,nova 3e（二手机/全网通/4GB+64GB/双卡双待/ANE-AL00/颜色随机）
TKMB201204RT,Redmi K30 至尊纪念版(全网通双模5G/8GB+128GB/M2006J10C/颜色随机)
TKMB201205E8,小米MIX2（二手机/全网通4G手机/6GB+64GB/颜色随机）
TKMB201205F3,MAX 2(二手机/全网通4G/4GB+32GB/MI MAX 2/颜色随机）
TKMB201205EY,A92s(全网通双模5G/6GB+128GB/PDKM00/颜色随机)
TKMB201204RE,nova 3i（二手机/全网通4G手机/4GB+128GB/INE-AL00/颜色随机）
TKMB201204RL,Redmi K30 至尊纪念版(全网通双模5G/8GB+128GB/M2006J10C/颜色随机)
TKMB201205WE,小米10青春版(二手机/全网通5G/6GB+64GB/M2002J9E/颜色不限)
TKMB201205F5,红米Redmi Note7 Pro(二手机/全网通4G/双卡双待/6GB+128GB/颜色随机)
TKMB201204R9,A3(二手机/全网通4G/4GB+128GB/PADM00/颜色随机)
TKMB201204RX,Mate 20 Pro (UD)屏内指纹版（全网通/8GB+256GB/LYA-AL10/颜色随机）
TKMB201204X5,S1 (二手机/全网通4G/6GB+128GB/V1831A/颜色随机)
TKMB201205RJ,荣耀9(STF-AL10/6G+128G/全网通尊享版4G/颜色随机)
TKMB201204FA,X23(二手机/全网通4G/8GB+128GB/V1809A/颜色随机)
TKMB201203EA,荣耀8 青春版(二手机/全网通4G/4G+64G/PRA-AL00X/颜色随机)
TKMB201205ET,6 Pro(二手机/全网通4G/3GB+32GB/颜色随机)
TKMB201204RW,X21A(二手机/全网通4G/6GB+128GB/颜色随机)
TKMB201205R0,A73(二手机/全网通4G/4GB+32GB/OPPO A73/颜色随机) Pcs
TKMB201205RP,Redmi K30 Pro(二手机/全网通5G/6GB+128GB/REDMI K30 PRO/颜色随机)
TKMB201204RR,Z5x（二手机/全网通4G/6GB+64GB/V1911A/颜色随机）
TKMB201205F4,Mate 9(二手机/移动联通电信4G/6GB+128GB版/MHA-AL00/双卡双待/颜色随机)
TKMB201204TN,小米6(二手机/XIAOMI 6/全网通/6GB*64GB）
TKMB201203RP,NEX 3(二手机/全网通5G/8GB+256GB/v1924a/颜色随机)
TKMB2012042X,S7(全网通双模5G/8GB+128GB/V2020A/颜色随机)
TKMB2012042R,P30 Pro(二手机/全网通4G/8GB+128GB/vog-al00/颜色随机)
TKMB201203EE,A7X(二手机/移动全网通4G/4GB+128GB/PBBT00/颜色随机)
TKMB201205EN,荣耀 畅玩6X(二手机/4GB+64GB/BLN-AL10/颜色随机)
TKMB201203F1,X27 Pro(二手机/全网通/8GB+256GB/V1836A/颜色随机)
TKMB201203EJ,X21i（二手机/移动联通电信4G/6G+128G/颜色随机）
TKMB20110462,Y81S(二手机/V1732T/移动全网通4G手机/4G+64G/颜色随机)
TKMB20120489,nova 7 SE(二手机/移动全网通5G/8GB+128GB/CDY-TN00/颜色随机)
TKMB201203EX,mate 10 pro（二手机/移动联通电信4G/6GB+128GB/BLA-AL00/颜色随机）
TKMB201203ET,mate 10 pro（二手机/移动联通电信4G/6GB+128GB/BLA-AL00/颜色随机）
TKMB201203EW,Xplay6(二手机/全网通4G/6GB+128GB/颜色随机)
TKMB201203EF,vivo X9s（二手机/全网通4G/4GB+64GB/VIVO X9S/颜色随机）
TKMB201203X0,Note3(二手机/全网通4G/6GB+64GB/MI NOTE 3/颜色随机)
TKMB201203E9,荣耀20i（二手机/全网通/6GB+64GB/HRY-AL00TA/颜色随机）
TKMB201202Y2,Reno4(全网通双模5G/8GB+128GB/PDPM00/颜色随机 )
TKMB201203RF,A9(二手机/移动4G+/6GB+128GB/PCAT10/颜色随机)
TKMB201203EP,XPLAY5A(二手机/全网通4G/4GB+128G/颜色随机)
TKMB201203F0,Y75(二手机/全网通4G/4GB+32GB/VIVO Y75A/颜色随机)
TKMB201203X1,Mix3（二手机/全网通4G/6GB+128GB/颜色随机）
TKMB201203E8,华为 畅享9(二手机/全网通4G/3GB+32GB/DUB-AL00a/颜色随机)
TKMB201203R7,CC9e(二手机/全网通4G/4GB+64GB/双卡双待/MI CC 9E/颜色随机）
TKMB201204G0,Y66（二手机/全网通/3GB+32GB/VIVO Y66/颜色随机）
TKMB201203RX,vivo X23 幻彩版（二手机/移动全网通4G/6GB+128GB/V1816T/颜色随机）
TKMB201204RY,X27(全网通4G/8GB+256GB/V1829A/颜色随机)
TKMB201204F3,8(全网通5G/8GB+128GB/IN2010/颜色随机)
TKMB201202JY,vivo Y70s (全网通5G/8GB+128GB/V2002A/颜色不限)
TKMB201203RN,R15x(二手机/移动4G/6GB+128GB/PBCT10/颜色随机)
TKMB201202JX,小米 MIX2S（二手机/移动联通电信4G/6GB+64GB/颜色随机）
TKMB201203EG,VIVO Y83(二手机/移动全网通4G/4GB+64GB/VIVO Y83/颜色随机)
TKMB201202JT,redmi 10X 4G版(全网通4G/4GB+128GB/M2003J15SC/颜色随机)
TKMB20120510,nova 6 SE(全网通4G/8GB+128GB/JNY-AL10/颜色随机)
TKMB201203F2,Y66i(二手机/全网通4G/3GB+32GB/VIVO Y66I A/颜色随机)
TKMB201204R6,Redmi 10X 5G(全网通双5G/6GB+128GB/M2004J7AC/颜色随机)
TKMB20120329,荣耀30S(全网通双模5G/8GB+128GB/CDY-AN90/颜色随机)
TKMB2012047M,A52(二手机/全网通4G/8GB+128GB/PDAM10/颜色随机)
TKMB2011041W,A59 （二手机/全网通4G/3GB+32GB/OPPO A59M/颜色随机）
TKMB201204R4,nova 7（全网通5G/8GB+128GB/颜色随机）
TKMB20110329,小米Play(二手机/全网通4G/4GB+64GB/双卡双待/MI PLAY/颜色随机)
TKMB201203EM,荣耀play4T(全网通4G/6GB+128GB/AKA AL10/颜色随机)
TKMB201204NY,荣耀20 PRO(二手机/全网通4G/8GB+128GB/YAL-AL10/颜色不限）
TKMB201204GF,A5(二手机/全网通4G/3GB+64GB/PBBM30/颜色随机)
TKMB201203W8,X21A(二手机/全网通4G/6GB+128GB/颜色随机)
TKMB201202Y0,三星 Galaxy Note20(全网通5G/8GB+256GB/SM-N9810/颜色随机)
TKMB201202JL,Reno 3(全网通5G/8GB+128GB/PDCM00/颜色随机)
TKMB201204G8,R9(二手机/全网通4G/4GB+64GB/OPPO R9M/颜色随机)
TKMB201204G9,iQOO(二手机/全网通4G/8GB+128GB/V1824A/颜色随机)
TKMB201205F1,A92s(二手机/移动全网通5G/8GB+128GB/PDKT00/颜色随机)
TKMB201202JM,三星Galaxy Note20 Ultra(全网通5G/12GB+256GB/SM-N9860/颜色随机)
TKMB201203EN,V3Max（二手机/全网通4G/2GB+32GB/VIVO V3MAX A/颜色随机）
TKMB2012050G,荣耀10 (二手机/全网通4G/6G+64GB/COL-AL10/颜色随机）
TKMB201204RG,小米10 至尊纪念版(全网通双模5G/8GB+128GB/M2007J1SC/颜色随机)
TKMB200602EA,A3 (二手机/移动全网通/4GB+64GB/颜色随机)(PADT00)
TKMB20120485,Y51(二手机/全网通4G/2GB+16GB/VIVO Y51A/颜色随机)
TKMB201204G5,畅享9 plus(二手机/全网通4G/6GB+128GB/JKM-AL00/颜色随机)
TKMB2012037E,Y67（二手机/全网通4G/4GB+32GB/颜色随机)
TKMB201202Y1,P20 Pro(二手机/全网通4G/6GB+256GB/CLT-AL00/颜色随机)
TKMB201204R7,10 (全网通5G/8GB+128GB/颜色随机)
TKMB2012041T,A8(全网通4G/6GB+128GB/PDBM00/颜色随机）
TKMB201203E4,华为 HUAWEI 畅享20 Pro(全网通双模5G/6GB+128GB/DVC-AN20/颜色随机)
TKMB201204R8,荣耀X10(全网通5G/6GB+128GB/颜色不限)
TKMB201203XE,小米CC9（二手机/全网通/6GB+128G/颜色随机）
TKMB201203RE,荣耀30 Pro (全网通5G/8GB+128GB/EBG-AN00/颜色随机)
