assetid,assetname,location,cloud,dt,batch,epo,remarks
TKMB20070345,"手机 三星 SAMSUNG SM-N916S (3GB+32GB/日版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070346,"手机 华为 HUAWEI SNE-LX1 (4GB+64GB/欧版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070347,"手机 华为 HUAWEI SNE-LX1 (4GB+64GB/欧版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070348,"手机 三星 SAMSUNG SM-A605G (4GB+16GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070349,"手机 三星 SAMSUNG SM-A605G (4GB+16GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034A,"手机 三星 SAMSUNG SM-J330G（2GB+16GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034E,"手机 三星 SAMSUNG SM-J530K （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034F,"手机 三星 SAMSUNG SM-J530K （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034G,"手机 华为 HUAWEI POT-LX1 （4GB+64GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034J,"手机 OPPO OPPO OPPO A37M （2GB+16GB/日版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034L,"手机 三星 SAMSUNG SM-G960F （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034M,"手机 OPPO OPPO A37F (2GB+16GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034N,"手机 OPPO OPPO A37F (2GB+16GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034P,"手机 三星 SAMSUNG SM-J330G（2GB+16GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034R,"手机 谷歌 GOOGLE PIXEL 2 XL （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034T,"手机 华为 HUAWEI POT-LX1 （4GB+64GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034W,"手机 谷歌 GOOGLE PIXEL 2 XL （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034X,"手机 OPPO OPPO OPPO A37M （2GB+16GB/日版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007034Y,"手机 三星 SAMSUNG SM-G960F （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070350,"手机 OPPO OPPO OPPO A57 （3GB+32GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070351,"手机 OPPO OPPO OPPO A57 （3GB+32GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070352,"手机 三星 SAMSUNG SM-G950F (4GB+64GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070353,"手机 三星 SAMSUNG SM-G950F (4GB+64GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20080208,"手机 华为 畅享 10S (全网通4G6GB+64GB颜色随机) Pcs(13012)",a6,a6_top300_cloud,"2021-02-03 00:00:00",38,PR-GO-202005111630,NULL
TKMB200901E2,"手机 OPPO R9tm(二手机移动全网通4GB+64GB颜色随机) Pcs",a6,a6_top300_cloud,"2021-02-03 00:00:00",38,PR-GO-202005111630,NULL
TKMB201001L0,"REDMI NOTE 1S （1GB+8GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L1,"REDMI NOTE 1S （1GB+8GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L2,"HWAWEI MAR-LX2J (6GB+128GB/欧版)自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L3,"HWAWEI MAR-LX2J (6GB+128GB/欧版)自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L4,"SONY SO-01K （4GB+64GB/日版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L5,"SONY SO-01K （4GB+64GB/日版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L6,"OPPO X9009 （2GB+16GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L7,"OPPO OPPO R11ST （2GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L8,"OPPO OPPO R11ST （2GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001L9,"SAMSUNG SM-A305F （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LA,"SHARP 706SH （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LE,"REDMI REDMI NOTE 7 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LF,"REDMI REDMI NOTE 7 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LG,"REDMI REDMI 6A （3GB+32GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LJ,"SONY SOV36 （4GB+64GB/日版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LL,"REDMI REDMI NOTE 8T （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001LM,"REDMI REDMI NOTE 5A （3GB+32GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
