公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB201001MP,MAR-LX2,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19050J2J,EVR-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1908004M,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,A1-线下箱子5,"待上线 (deployable)"
腾讯,TKMB190800RL,"VIVO X21UD A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1705029H,"VIVO X9PLUS",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB16110889,SM-G9350,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190700FL,RMX1901,REALME,Android,Realme,,"新增 (deployable)"
腾讯,TKMB200405X3,MRD-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200500MG,"VIVO Y85A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB180602WT,"MI 6X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB190400MF,"REDMI 7",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1910007G,"OPPO R11 PLUS",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20040082,HWI-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180601J9,"MIX 2S",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB190701M2,BLA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB160903K6,SM-G925F,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB19050M3R,EML-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB20030287,"REDMI NOTE 8 PRO",REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200302TJ,V1816T,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB201104PX,PBBT30,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB19120799,"OPPO R9ST",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB19100100,"VIVO X9S",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB180307H0,DLI-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190701PN,NX629J,NUBIA,Android,nubia,,"新增 (deployable)"
腾讯,TKMB19090256,JSN-L22,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200303PG,TNY-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201000E7,TNY-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB18060017,"OPPO R9ST",OPPO,Android,OPPO,A1-线下箱子2,"待上线 (deployable)"
腾讯,TKMB1806017M,SM-G9500,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1801041H,"VIVO Y66",VIVO,Android,vivo,,"新增 (deployable)"
